time/fps,time/iterations,time/total_timesteps,train/reward,train/reward_min,train/reward_max,time/time_elapsed,train/reward_mean,train/clip_fraction,train/std,train/loss,train/approx_kl,train/clip_range,train/policy_gradient_loss,train/entropy_loss,train/n_updates,train/explained_variance,train/value_loss,train/learning_rate
167,1,2048,-3.5789652,-4.4257793,4.420289,12,0.016640134,,,,,,,,,,,
166,2,4096,-1.8011883,-10.970047,10.790365,24,0.06696083,0.137451171875,0.9994651079177856,2.4194157123565674,0.0023561835,0.1,-0.009372624047682621,-39.722869062423705,10,0.011783838272094727,6.228560733795166,0.0001
166,3,6144,0.27680647,-39.934746,31.080772,36,0.08306087,0.06259765625,0.9994221329689026,12.673572540283203,0.0020118738,0.1,-0.005661366658750921,-39.714066696166995,20,-0.025998950004577637,26.37589862346649,0.0001
166,4,8192,0.20685297,-9.609483,10.960135,49,0.06336249,0.09013671875,0.999365508556366,27.80270004272461,0.002493007,0.1,-0.007013167918194086,-39.71364316940308,30,0.005392313003540039,76.65448050498962,0.0001
166,5,10240,23.741095,-42.56553,36.155563,61,0.0754986,0.062158203125,0.9996492266654968,11.217166900634766,0.0024406526,0.1,-0.008260559785412624,-39.71534924507141,40,-0.006842494010925293,21.985979294776918,0.0001
166,6,12288,-0.3934846,-30.869686,16.31572,73,0.053344857,0.102001953125,0.9998893737792969,38.257198333740234,0.0039570928,0.1,-0.005367758043576032,-39.723970603942874,50,0.0035773515701293945,110.7219765663147,0.0001
166,7,14336,0.13379464,-12.372787,14.789978,86,0.064204946,0.20576171875,0.999919056892395,3.849893808364868,0.0036759567,0.1,-0.008818957954645157,-39.72575907707214,60,-0.014104485511779785,12.48570544719696,0.0001
166,8,16384,0.74676275,-63.011787,37.29603,98,0.14018427,0.072802734375,0.9999427795410156,15.574755668640137,0.0028154778,0.1,-0.008852315094554798,-39.72776384353638,70,-0.009968280792236328,33.41999440193176,0.0001
166,9,18432,-0.34600663,-7.4063663,8.309645,110,0.015178185,0.02802734375,1.0001624822616577,44.33792495727539,0.001739602,0.1,-0.0049960645061219115,-39.73133544921875,80,0.0019593238830566406,131.9229974746704,0.0001
166,10,20480,-2.9317658,-17.880247,14.82463,122,0.11808652,0.142041015625,0.9998359680175781,4.237735748291016,0.0025039406,0.1,-0.011091139135533012,-39.73130750656128,90,0.02687615156173706,10.02510661482811,0.0001
166,11,22528,2.870547,-27.759586,24.78484,135,0.02542913,0.10439453125,0.9997371435165405,17.446256637573242,0.0027838917,0.1,-0.008651159590226599,-39.72365770339966,100,-0.002523183822631836,41.79458031654358,0.0001
166,12,24576,0.7705374,-14.057,14.413531,147,0.105981566,0.094580078125,0.9996414184570312,16.27618980407715,0.0028363029,0.1,-0.008790730869804975,-39.720532751083375,110,0.0012363791465759277,33.83820321559906,0.0001
166,13,26624,-0.032460034,-84.870056,57.393425,159,0.20846389,0.078662109375,0.9996341466903687,20.91560935974121,0.0023140246,0.1,-0.006699556828243658,-39.71935906410217,120,0.008498847484588623,39.697114539146426,0.0001
166,14,28672,2.5407062,-11.086364,13.212163,172,0.040129907,0.06005859375,0.9996441006660461,129.3867645263672,0.00206313,0.1,-0.0053388667642138895,-39.7199423789978,130,0.0072095394134521484,264.0626895904541,0.0001
166,15,30720,-2.451432,-24.247925,22.680578,184,0.17987616,0.15576171875,0.999722957611084,9.37109375,0.0029977234,0.1,-0.010651602467987686,-39.72201600074768,140,0.006085753440856934,20.95880310535431,0.0001
166,16,32768,-0.6784553,-62.699486,45.31884,196,0.03997511,0.0962890625,0.9993113875389099,29.889835357666016,0.0029639127,0.1,-0.006914949804195203,-39.71664047241211,150,-0.0033419132232666016,78.0904685497284,0.0001
166,17,34816,1.0985061,-12.06012,14.859364,208,0.10364288,0.242578125,0.9999892115592957,36.11820602416992,0.004688861,0.1,-0.010502869510673918,-39.71920185089111,160,0.010747194290161133,80.9301836013794,0.0001
166,18,36864,0.65099794,-83.82633,58.76271,221,0.13614348,0.176806640625,1.0005117654800415,18.098947525024414,0.0030542128,0.1,-0.009429351548897102,-39.739001226425174,170,0.0035936832427978516,36.96068675518036,0.0001
166,19,38912,2.338461,-8.133765,9.915117,233,0.031088239,0.073876953125,1.0004918575286865,89.98149108886719,0.0032239978,0.1,-0.005615567989298143,-39.74516048431396,180,0.003458738327026367,197.8654998779297,0.0001
166,20,40960,0.818125,-18.007608,16.445667,246,0.13592415,0.16904296875,1.0007970333099365,5.301549434661865,0.003775374,0.1,-0.012697309959912672,-39.746095991134645,190,-0.03352844715118408,10.196947407722472,0.0001
166,21,43008,-0.43233526,-41.67264,33.492756,258,0.031674843,0.1291015625,1.0006266832351685,16.501285552978516,0.0031546112,0.1,-0.008435635032947175,-39.75243082046509,200,-0.00536656379699707,36.33836719989777,0.0001
166,22,45056,2.339023,-9.592794,11.314109,270,0.11423868,0.184912109375,1.0005581378936768,31.862180709838867,0.0043431455,0.1,-0.01083915639683255,-39.746301078796385,210,0.004051148891448975,51.53422405719757,0.0001
166,23,47104,-0.7331002,-100.29801,68.63634,282,0.17914669,0.12236328125,1.000377893447876,12.931222915649414,0.0031828615,0.1,-0.009778046308201737,-39.741431427001956,220,-0.0005620718002319336,25.128085494041443,0.0001
166,24,49152,-1.7708389,-8.776324,9.9085865,295,0.046181146,0.1060546875,1.0001941919326782,206.193603515625,0.0035776573,0.1,-0.0046993201016448435,-39.738171672821046,230,0.009621143341064453,265.2009977340698,0.0001
166,25,51200,-2.5224183,-21.215101,25.026596,307,0.2115948,0.206005859375,1.000135064125061,7.012969493865967,0.0047642505,0.1,-0.013023364369291811,-39.73325080871582,240,-0.010091900825500488,12.141142475605012,0.0001
166,26,53248,-0.17256442,-96.6349,63.70418,319,0.07690075,0.077099609375,1.000331997871399,36.00874328613281,0.0025145877,0.1,-0.0040759150346275416,-39.73578381538391,250,-0.019527912139892578,76.88664574623108,0.0001
166,27,55296,2.144157,-9.216887,9.8962555,332,0.08817518,0.126708984375,1.000437617301941,68.50724029541016,0.0039641717,0.1,-0.008839163545053453,-39.74192771911621,260,0.015303075313568115,130.9791850090027,0.0001
166,28,57344,-1.0516083,-85.314354,59.655296,344,0.14912584,0.084228515625,1.0004267692565918,7.664109706878662,0.0030239073,0.1,-0.007145505922380835,-39.74192218780517,270,0.07757902145385742,19.00467380285263,0.0001
166,29,59392,-0.41038182,-10.559418,11.735145,357,0.05193202,0.10087890625,1.0005888938903809,71.0413818359375,0.0032146086,0.1,-0.006960521638393402,-39.74425873756409,280,0.04017752408981323,158.8920367240906,0.0001
166,30,61440,1.4510603,-26.00672,31.237831,369,0.23901126,0.205810546875,1.0004807710647583,7.8503899574279785,0.0046524815,0.1,-0.010296384652610869,-39.745627355575564,290,-0.03175818920135498,14.627869081497192,0.0001
166,31,63488,0.22219701,-114.11987,76.31522,381,0.09772226,0.055810546875,1.0002540349960327,54.56412124633789,0.0025109502,0.1,-0.0041233271971577775,-39.73973636627197,300,-0.021012544631958008,114.09876346588135,0.0001
166,32,65536,4.856845,-11.094479,10.765182,393,0.12468973,0.13671875,1.0006293058395386,100.95872497558594,0.0030787117,0.1,-0.008732852261164225,-39.74267129898071,310,0.0191991925239563,188.03028593063354,0.0001
166,33,67584,2.7789907,-106.90629,71.479546,406,0.18804027,0.12509765625,1.0003656148910522,13.819978713989258,0.003135012,0.1,-0.007261357043171301,-39.74575262069702,320,-0.009429931640625,25.43599407672882,0.0001
166,34,69632,0.3748594,-9.5472555,10.241794,418,0.034993365,0.147216796875,1.0006455183029175,104.98188781738281,0.003737995,0.1,-0.009069741738494485,-39.7422372341156,330,0.04495316743850708,252.1321478843689,0.0001
166,35,71680,0.16035175,-29.050186,33.912807,430,0.27646667,0.148828125,1.000909686088562,6.195140838623047,0.0034165895,0.1,-0.01069962277833838,-39.75067715644836,340,-0.029376506805419922,11.803464305400848,0.0001
166,36,73728,-0.6665401,-131.9996,79.343704,443,0.1119412,0.0693359375,1.0007569789886475,44.77439880371094,0.0028467295,0.1,-0.005643303216493223,-39.75457344055176,350,0.004406154155731201,113.16901197433472,0.0001
166,37,75776,2.1586592,-10.121077,9.546608,455,0.105575114,0.15263671875,1.0005996227264404,152.53880310058594,0.004237176,0.1,-0.010209311242215335,-39.74933519363403,360,0.0421409010887146,232.1490050315857,0.0001
166,38,77824,-0.97693115,-108.04994,70.73977,467,0.1988666,0.1400390625,1.0005353689193726,10.836576461791992,0.0034226817,0.1,-0.007567627442767844,-39.74607357978821,370,0.018551945686340332,18.933783757686616,0.0001
166,39,79872,1.4367712,-9.049826,10.249842,480,0.04067853,0.115625,1.000614881515503,174.83152770996094,0.0033792527,0.1,-0.005214595353754703,-39.74513573646546,380,0.06460458040237427,242.56209392547606,0.0001
166,40,81920,1.4560696,-23.480373,16.644512,492,0.22256456,0.17939453125,1.0002926588058472,4.890415668487549,0.0038602143,0.1,-0.010073872323846444,-39.74328508377075,390,0.017883360385894775,12.673553156852723,0.0001
166,41,83968,-0.44538888,-108.261955,70.80425,504,0.09788062,0.14111328125,1.0006285905838013,49.53495407104492,0.0033338275,0.1,-0.006704048713436351,-39.74133276939392,400,-0.023721933364868164,89.12982964515686,0.0001
166,42,86016,-0.3007577,-9.937686,10.015606,517,0.09933274,0.08916015625,1.0006468296051025,55.8455696105957,0.002918104,0.1,-0.007948267750907689,-39.747288131713866,410,0.05034828186035156,189.8939905166626,0.0001
166,43,88064,-1.4390011,-99.87491,66.471924,529,0.20437895,0.119189453125,1.0004754066467285,8.275282859802246,0.002846688,0.1,-0.009885639551794157,-39.74536318778992,420,0.05404222011566162,18.09063274860382,0.0001
166,44,90112,-2.8358247,-10.737215,11.132891,541,0.03134194,0.086669921875,1.0001524686813354,113.37843322753906,0.0038135804,0.1,-0.006135106110014022,-39.73953127861023,430,0.07317119836807251,240.029793548584,0.0001
166,45,92160,-0.71626717,-22.34242,17.962315,553,0.242276,0.146240234375,1.0002626180648804,6.771404266357422,0.003258211,0.1,-0.009060739423148334,-39.73397979736328,440,0.010189950466156006,13.467067110538483,0.0001
166,46,94208,0.62974834,-104.84329,69.01364,566,0.085960306,0.123046875,1.0001407861709595,35.98257827758789,0.0028834343,0.1,-0.006493438212783076,-39.73573288917542,450,-0.00998842716217041,78.9583475112915,0.0001
166,47,96256,-0.259772,-7.327691,9.062598,578,0.06404131,0.17802734375,1.0003845691680908,142.6589813232422,0.00441133,0.1,-0.00893940931346151,-39.73525886535644,460,0.06494289636611938,201.87451601028442,0.0001
166,48,98304,-1.804996,-62.134674,39.85557,590,0.11342844,0.12880859375,1.0006322860717773,4.873424530029297,0.0031637857,0.1,-0.007420854832162149,-39.74395885467529,470,-0.019540071487426758,13.759798860549926,0.0001
166,49,100352,1.0200804,-9.047601,9.828748,603,0.029224772,0.060986328125,1.0006144046783447,52.04534149169922,0.0027272548,0.1,-0.005966627167072147,-39.746675634384154,480,0.09040164947509766,109.30839695930482,0.0001
166,50,102400,4.1318755,-22.036167,15.3914995,615,0.19692783,0.115185546875,1.0007140636444092,4.140012264251709,0.0031153583,0.1,-0.009986127470619976,-39.74719190597534,490,0.026643097400665283,12.157673704624177,0.0001
166,51,104448,-0.22079098,-106.35465,73.46756,627,0.113534376,0.10107421875,1.0006273984909058,21.539798736572266,0.003070496,0.1,-0.007313752654590644,-39.748037815093994,500,-0.016787171363830566,55.677973699569705,0.0001
166,52,106496,-0.8786554,-9.207284,10.315539,640,0.067424685,0.04990234375,1.0004146099090576,113.16781616210938,0.0022059851,0.1,-0.007338102142966818,-39.7449830532074,510,0.0757591724395752,194.59931640625,0.0001
