train/reward_min,train/learning_rate,time/time_elapsed,train/std,train/reward_mean,train/reward_max,train/entropy_loss,train/explained_variance,train/value_loss,train/n_updates,train/reward,train/policy_loss,time/fps,time/iterations,time/total_timesteps
-2.1455,5e-05,6,1.0012394189834595,0.09515189379453659,2.514425,-41.18471908569336,0.1283271312713623,2.525207757949829,99,0.18509533,-34.11334228515625,243,100,1600
-0.88469875,5e-05,13,1.0017359256744385,0.3100559711456299,1.4393892,-41.199649810791016,-0.1013331413269043,10.044532775878906,199,-0.88469875,106.267578125,243,200,3200
-1.3920127,5e-05,19,1.0022404193878174,0.1708526611328125,2.3821573,-41.2140998840332,0.032969534397125244,59.58496856689453,299,0.28621188,282.4914855957031,243,300,4800
-2.9804077,5e-05,26,1.002779245376587,-0.45115482807159424,1.3285769,-41.2291374206543,0.007697641849517822,1.3798712491989136,399,-2.1972153,36.27147674560547,244,400,6400
-1.547467,5e-05,32,1.003383755683899,0.3737376630306244,2.248879,-41.24699783325195,0.0,8.989373207092285,499,1.5659939,19.62564468383789,244,500,8000
-1.2596189,5e-05,39,1.0038058757781982,0.007946068421006203,1.246847,-41.259517669677734,0.033383965492248535,7.241584300994873,599,0.13967621,76.39735412597656,244,600,9600
-11.705777,5e-05,45,1.0042225122451782,0.09091534465551376,16.20202,-41.27140426635742,0.0051857829093933105,125.36946868896484,699,-0.1764869,-376.1458435058594,244,700,11200
-2.4543111,5e-05,52,1.00494384765625,0.2516503930091858,2.9007761,-41.29196548461914,-0.03431272506713867,41.775943756103516,799,-0.015319878,218.87017822265625,244,800,12800
-43.523304,5e-05,58,1.005318522453308,-2.1674964427948,31.624662,-41.303043365478516,0.009407639503479004,819.582763671875,899,13.849111,-909.1426391601562,244,900,14400
-5.174574,5e-05,65,1.006011724472046,0.009263090789318085,3.7883468,-41.32298278808594,0.011137247085571289,24.756528854370117,999,-1.7111795,-185.11611938476562,244,1000,16000
-1.3336142,5e-05,72,1.0064632892608643,-0.06195471063256264,1.0665824,-41.33584976196289,-0.0007550716400146484,6.439982891082764,1099,-1.2557336,81.03092193603516,244,1100,17600
-2.7541597,5e-05,78,1.0069407224655151,-0.1471443921327591,3.5508466,-41.34968948364258,0.07614266872406006,44.24970245361328,1199,-2.3036032,250.99826049804688,244,1200,19200
-3.226966,5e-05,85,1.0073060989379883,-0.053819961845874786,2.3729143,-41.35990524291992,-0.4496467113494873,3.323617458343506,1299,0.42194736,54.07947540283203,244,1300,20800
-2.868197,5e-05,91,1.0076994895935059,0.7022059559822083,7.3894105,-41.37166976928711,0.08375388383865356,11.354053497314453,1399,-0.08326383,110.2551040649414,244,1400,22400
-2.870312,5e-05,98,1.0081968307495117,-0.41556864976882935,2.3068538,-41.38571548461914,0.06061816215515137,3.871751308441162,1499,-0.13251905,60.790443420410156,244,1500,24000
-7.6286306,5e-05,104,1.0084797143936157,-0.07423442602157593,5.268105,-41.393558502197266,-0.014262199401855469,39.836631774902344,1599,-7.6286306,241.2975616455078,244,1600,25600
-3.157055,5e-05,111,1.0090880393981934,-0.2184140533208847,3.4113495,-41.41143798828125,-0.2210608720779419,49.720664978027344,1699,-0.34208652,233.54873657226562,244,1700,27200
-4.1008635,5e-05,117,1.0093551874160767,1.2860976457595825,4.981978,-41.419036865234375,-0.02563619613647461,81.9173355102539,1799,0.059534483,266.15460205078125,244,1800,28800
-2.3477118,5e-05,124,1.0099166631698608,1.6575438976287842,4.999229,-41.43534851074219,-0.010733723640441895,81.87434387207031,1899,0.24308966,-365.37481689453125,243,1900,30400
-1.0256151,5e-05,131,1.010360598564148,0.10792538523674011,1.1554986,-41.447017669677734,-0.051442623138427734,0.43200087547302246,1999,1.1554986,16.367454528808594,243,2000,32000
-7.1681266,5e-05,137,1.010817050933838,-1.2795404195785522,4.088455,-41.460933685302734,-0.031243324279785156,10.782377243041992,2099,1.8410754,-79.0524673461914,243,2100,33600
-1.6595458,5e-05,144,1.0112422704696655,0.13606590032577515,2.6430688,-41.47328567504883,-0.7886980772018433,3.916233777999878,2199,0.14852163,52.53020095825195,243,2200,35200
-1.4496905,5e-05,150,1.0117844343185425,-0.125859797000885,1.3487811,-41.48885726928711,-0.39038002490997314,14.440115928649902,2299,-1.4496905,-130.53579711914062,243,2300,36800
-0.89357,5e-05,157,1.0121334791183472,0.1995510458946228,1.7177609,-41.49857711791992,-0.456295371055603,4.784805774688721,2399,0.6045772,68.07352447509766,243,2400,38400
-3.2076235,5e-05,164,1.0124614238739014,-0.48791390657424927,2.4840522,-41.50825500488281,0.0741155743598938,37.70166778564453,2499,-1.7824805,212.91285705566406,243,2500,40000
-1.1356274,5e-05,170,1.0130624771118164,0.5175508856773376,1.621302,-41.52511215209961,-0.08198046684265137,3.0635528564453125,2599,0.7044676,47.336116790771484,243,2600,41600
-5.915122,5e-05,177,1.0132867097854614,0.31821832060813904,6.221821,-41.531795501708984,-0.060343384742736816,32.0555534362793,2699,-1.4213511,128.9912567138672,243,2700,43200
-4.2825413,5e-05,183,1.014007806777954,-0.01274668425321579,2.0763175,-41.551937103271484,0.42077040672302246,0.7221333384513855,2799,1.6607612,12.42647647857666,243,2800,44800
-1.2426615,5e-05,190,1.014255166053772,0.06987817585468292,1.4247605,-41.55891036987305,0.0,1.1750190258026123,2899,-1.2426615,-38.702552795410156,243,2900,46400
-5.101477,5e-05,196,1.0148411989212036,0.8912336826324463,4.2750664,-41.57625198364258,0.1863868236541748,25.248348236083984,2999,-1.2044791,-177.62815856933594,243,3000,48000
-3.0385902,5e-05,203,1.0152655839920044,-0.17731796205043793,3.1191852,-41.58817672729492,-0.10363936424255371,7.0948710441589355,3099,3.1191852,84.99745178222656,243,3100,49600
-2.0279443,5e-05,210,1.0157698392868042,0.19762201607227325,3.0004003,-41.60261535644531,-0.282806396484375,37.635948181152344,3199,-0.40438867,203.4534149169922,243,3200,51200
-3.884231,5e-05,216,1.0163381099700928,-0.10852921009063721,3.8937705,-41.6190185546875,-0.03404116630554199,18.6219482421875,3299,-1.6471796,119.30828094482422,243,3300,52800
-11.390648,5e-05,223,1.0166878700256348,-1.4009943008422852,10.877557,-41.62917709350586,0.018384099006652832,40.28374099731445,3399,-5.466118,207.40383911132812,243,3400,54400
-1.2804499,5e-05,229,1.017492651939392,0.27181118726730347,2.384761,-41.651824951171875,-0.3036247491836548,5.522956848144531,3499,-0.058789786,67.69660949707031,243,3500,56000
-5.720673,5e-05,236,1.0179837942123413,1.3349353075027466,9.286156,-41.66575622558594,-0.180999755859375,71.35649108886719,3599,0.87293434,-299.1071472167969,243,3600,57600
-5.2174683,5e-05,242,1.0188251733779907,-0.15484322607517242,2.6171396,-41.68937683105469,0.4399492144584656,2.1742007732391357,3699,0.082956366,-22.528423309326172,243,3700,59200
-0.874319,5e-05,249,1.0190516710281372,-0.07295434176921844,1.101993,-41.69609451293945,0.0,1.8729534149169922,3799,0.78993404,-54.38871383666992,243,3800,60800
-6.0099487,5e-05,255,1.019710659980774,0.0412767119705677,3.8067498,-41.714847564697266,-0.02226424217224121,5.549896240234375,3899,-0.7820988,-31.360698699951172,243,3900,62400
-3.533183,5e-05,262,1.020234227180481,-0.15397541224956512,4.12046,-41.72983169555664,0.007671713829040527,44.94189453125,3999,-0.9916687,-270.3612976074219,243,4000,64000
