time/total_timesteps,time/fps,train/reward,train/reward_mean,train/reward_max,time/iterations,time/time_elapsed,train/reward_min,train/loss,train/n_updates,train/entropy_loss,train/policy_gradient_loss,train/value_loss,train/learning_rate,train/clip_range,train/clip_fraction,train/explained_variance,train/std,train/approx_kl
22528,248,1.0761169,0.09509541839361191,7.7601213,11,90,-7.435076,23.9857234954834,100,-41.14654183387756,-0.010156704665860161,51.32416970729828,0.0001,0.1,0.1337890625,0.00018668174743652344,1.0000383853912354,0.0031348125
24576,248,-0.1116057,0.07383038848638535,30.249153,12,98,-41.285885,6.611788749694824,110,-41.15593423843384,-0.011479654657887296,13.675723147392272,0.0001,0.1,0.1357421875,-0.1305919885635376,1.0004429817199707,0.0030848659
26624,248,0.29579517,0.106076180934906,33.44859,13,107,-39.68108,18.971643447875977,120,-41.1664354801178,-0.011254692441434599,45.22266435623169,0.0001,0.1,0.167919921875,-0.010225415229797363,1.0007723569869995,0.0038734474
28672,248,-0.72857505,0.0888223946094513,13.245558,14,115,-13.845817,37.980587005615234,130,-41.17607707977295,-0.008993453692528419,72.0045060634613,0.0001,0.1,0.103076171875,-0.0013376474380493164,1.001129150390625,0.0028660055
30720,247,5.911151,0.05454831197857857,26.97475,15,123,-30.481775,12.565638542175293,140,-41.19686064720154,-0.010807417694013565,23.530534076690675,0.0001,0.1,0.1611328125,-0.034281134605407715,1.0021001100540161,0.0039694877
32768,247,0.26076928,0.11006275564432144,30.497595,16,132,-38.415672,18.28670883178711,150,-41.21606578826904,-0.01152296549116727,43.1629741191864,0.0001,0.1,0.158447265625,-0.0020450353622436523,1.0024605989456177,0.0037984874
34816,247,0.791984,0.15124745666980743,35.891193,17,140,-49.823177,27.362239837646484,160,-41.22533073425293,-0.009105189653928392,59.762711668014525,0.0001,0.1,0.135986328125,-0.006594419479370117,1.002877116203308,0.0027585328
36864,248,-0.57914996,0.08987601101398468,8.80111,18,148,-7.6257687,44.235076904296875,170,-41.23200821876526,-0.007074121515324805,90.69315328598023,0.0001,0.1,0.08759765625,-0.013458013534545898,1.0028769969940186,0.0025112962
38912,248,-0.43587092,0.0943087637424469,26.155903,19,156,-34.82206,6.674278259277344,180,-41.23820233345032,-0.014724400616250933,13.019800770282746,0.0001,0.1,0.2130859375,-0.0025987625122070312,1.0035208463668823,0.003624032
40960,247,-0.34188235,0.07219786942005157,26.545088,20,165,-26.767654,16.714004516601562,190,-41.24624018669128,-0.010840922477655113,41.20368072986603,0.0001,0.1,0.168505859375,-0.00872182846069336,1.0032391548156738,0.0032471935
43008,247,-8.303,0.09994620829820633,11.168663,21,173,-16.254177,18.325389862060547,200,-41.241468811035155,-0.009266713296528905,46.687084102630614,0.0001,0.1,0.159912109375,-0.005793452262878418,1.0032702684402466,0.0034122728
45056,247,2.834084,0.07961440086364746,25.903109,22,181,-33.999496,16.37220001220703,210,-41.23873338699341,-0.010245249018771574,27.919670009613036,0.0001,0.1,0.1146484375,0.017162322998046875,1.0028468370437622,0.003184921
47104,247,-0.50039124,0.07924555242061615,26.91608,23,189,-27.463936,17.54405403137207,220,-41.237416934967044,-0.010364971702801994,35.1212043762207,0.0001,0.1,0.16806640625,-0.012457847595214844,1.0032178163528442,0.003750059
49152,248,6.187766,0.08279843628406525,28.566004,24,198,-29.36567,20.489559173583984,230,-41.24314570426941,-0.009579733974533156,47.07422852516174,0.0001,0.1,0.185986328125,-0.006351470947265625,1.003420114517212,0.0032665841
51200,247,-0.12540373,0.09217388182878494,9.834045,25,206,-21.809856,26.346235275268555,240,-41.24475545883179,-0.009838236111681909,48.352599143981934,0.0001,0.1,0.139697265625,-0.0022112131118774414,1.0031827688217163,0.003603953
53248,247,0.70476913,0.06875786930322647,25.507267,26,214,-27.367512,7.455870628356934,250,-41.250801753997806,-0.015454599120130297,14.289466309547425,0.0001,0.1,0.21953125,0.004020214080810547,1.0041249990463257,0.0043820036
55296,247,-0.49890104,0.08935628831386566,29.178991,27,222,-32.77181,30.282915115356445,260,-41.27982654571533,-0.009039745607879013,44.72658908367157,0.0001,0.1,0.205029296875,0.008097171783447266,1.0046803951263428,0.004361105
57344,247,0.47718835,0.1177888736128807,10.339437,28,231,-17.557022,31.093324661254883,270,-41.28481831550598,-0.009972125774947927,62.99590592384338,0.0001,0.1,0.18017578125,-0.012367963790893555,1.0045983791351318,0.0035171849
59392,247,-1.0942606,0.0953306183218956,36.06641,29,239,-44.13565,11.336259841918945,280,-41.287775087356565,-0.011479975987458601,23.982319164276124,0.0001,0.1,0.169873046875,-0.0052253007888793945,1.0052655935287476,0.0037327302
61440,248,0.34349188,0.0574151948094368,27.494448,30,247,-30.67493,26.191171646118164,290,-41.3087504863739,-0.010347890912089496,63.43888120651245,0.0001,0.1,0.226611328125,-0.0034096240997314453,1.0057955980300903,0.00449032
63488,248,-0.4051559,0.12170116603374481,16.033459,31,255,-14.197773,23.038986206054688,300,-41.31682348251343,-0.00880562134552747,46.89846425056457,0.0001,0.1,0.09912109375,-0.007068276405334473,1.005882978439331,0.0033972017
65536,248,-0.7630968,0.08608711510896683,30.565935,32,264,-37.30282,16.01991081237793,310,-41.31591143608093,-0.009298064658651128,31.59984345436096,0.0001,0.1,0.16640625,-0.010983943939208984,1.0058479309082031,0.003708679
67584,248,-0.25092003,0.07143757492303848,27.371077,33,272,-30.975119,26.142974853515625,320,-41.31537208557129,-0.010621391842141748,43.25068514347076,0.0001,0.1,0.190771484375,0.019594192504882812,1.005664587020874,0.004411908
69632,248,0.51974314,0.14028124511241913,34.511135,34,280,-44.793194,15.520533561706543,330,-41.31088404655456,-0.008122703863773496,42.573186016082765,0.0001,0.1,0.15625,0.0006001591682434082,1.005581259727478,0.003638871
71680,248,-0.3515486,0.08056118339300156,9.1247425,35,288,-8.45043,35.584373474121094,340,-41.30826907157898,-0.009729384754609782,69.327139377594,0.0001,0.1,0.17763671875,-0.0015900135040283203,1.005460500717163,0.0041937195
73728,247,-4.1471395,0.07705135643482208,27.605158,36,297,-29.068403,6.4648284912109375,350,-41.301228046417236,-0.012776839273283259,13.344673001766205,0.0001,0.1,0.21962890625,0.006449222564697266,1.005308985710144,0.0044779647
75776,247,-1.0828757,0.08697093278169632,29.870882,37,305,-31.022957,10.726202964782715,360,-41.30253825187683,-0.00875343675725162,29.20613510608673,0.0001,0.1,0.13056640625,0.009708166122436523,1.0054789781570435,0.0037728166
77824,247,-7.6861124,0.12139051407575607,15.767444,38,314,-14.318954,16.507020950317383,370,-41.30367841720581,-0.008949397219112143,35.58514602184296,0.0001,0.1,0.147900390625,-0.012491106986999512,1.0053248405456543,0.004263161
79872,247,-2.4555926,0.10047850757837296,34.082653,39,322,-45.0943,8.334421157836914,380,-41.30774292945862,-0.01099336018669419,23.891752004623413,0.0001,0.1,0.148583984375,-0.0028241872787475586,1.0058085918426514,0.003964937
81920,247,-0.78493124,0.08261886239051819,26.728125,40,330,-36.56549,28.86826515197754,390,-41.319203996658324,-0.011334492822061292,46.797540831565854,0.0001,0.1,0.193505859375,-0.00046312808990478516,1.0061018466949463,0.0039607817
83968,247,0.8339746,0.13914154469966888,34.535915,41,338,-49.857956,16.410396575927734,400,-41.32765197753906,-0.01004912086063996,45.408776092529294,0.0001,0.1,0.20517578125,-0.0074901580810546875,1.0063891410827637,0.0042549716
86016,247,-0.571274,0.11958315223455429,11.339419,42,347,-9.534034,18.614898681640625,410,-41.33521318435669,-0.007372090368880891,73.52919783592225,0.0001,0.1,0.19248046875,-0.0022028684616088867,1.0066213607788086,0.0043320404
88064,247,-0.15586342,0.11148296296596527,43.56091,43,355,-52.913567,8.283455848693848,420,-41.33566818237305,-0.01091204496624414,17.283873128890992,0.0001,0.1,0.18857421875,-0.023596763610839844,1.0065498352050781,0.005023177
90112,247,0.073305,0.10249479860067368,36.035847,44,363,-42.554028,25.099042892456055,430,-41.33627781867981,-0.00982121480628848,78.51577849388123,0.0001,0.1,0.134033203125,-0.0001919269561767578,1.0065606832504272,0.0036272444
92160,247,-0.9993706,0.10527897626161575,8.822918,45,371,-14.721372,28.10953140258789,440,-41.34127140045166,-0.01008825990720652,65.2963261127472,0.0001,0.1,0.222900390625,0.0011118054389953613,1.0069694519042969,0.0051507177
94208,247,-5.1682096,0.08412341773509979,27.905455,46,380,-38.87881,8.391243934631348,450,-41.35139064788818,-0.012163276132196189,20.015117847919463,0.0001,0.1,0.19736328125,-0.0040204524993896484,1.0072052478790283,0.0047817924
96256,247,0.9735204,0.10086444020271301,35.68294,47,388,-43.984936,20.284198760986328,460,-41.357313013076784,-0.009137610727339051,41.765679717063904,0.0001,0.1,0.211572265625,-0.004367470741271973,1.0074448585510254,0.005197824
98304,247,11.374467,0.1261810064315796,38.554916,48,396,-45.62248,50.464298248291016,470,-41.357544612884524,-0.012304748984752223,57.36449031829834,0.0001,0.1,0.2048828125,-0.0021848678588867188,1.0070985555648804,0.004911755
100352,247,0.10774866,0.09428248554468155,14.827479,49,404,-27.990305,47.29073715209961,480,-41.34238066673279,-0.0074661334423581135,72.96078267097474,0.0001,0.1,0.18681640625,0.0010036826133728027,1.006502628326416,0.005012696
102400,247,-0.6977612,0.10728880017995834,34.646416,50,412,-40.19301,8.675093650817871,490,-41.33363127708435,-0.011734011469525286,18.0289427280426,0.0001,0.1,0.22607421875,0.006845653057098389,1.006589412689209,0.0050973156
104448,247,0.10439091,0.11367004364728928,32.317608,51,421,-38.108994,39.26381301879883,500,-41.32893576622009,-0.00768164104083553,54.8105789899826,0.0001,0.1,0.152392578125,-0.0019505023956298828,1.0058995485305786,0.003929548
106496,247,-4.3096623,0.13644948601722717,11.570096,52,429,-18.002026,20.184303283691406,510,-41.312248134613036,-0.009517794800922274,54.58814687728882,0.0001,0.1,0.177099609375,0.001490175724029541,1.0056653022766113,0.0045227567
108544,247,2.2383752,0.13894306123256683,45.788136,53,437,-64.31305,11.576935768127441,520,-41.30051846504212,-0.011002522887429223,24.549411249160766,0.0001,0.1,0.20732421875,-0.01598072052001953,1.0049433708190918,0.0052057197
110592,247,1.3082546,0.10855838656425476,34.86407,54,445,-40.715694,46.743038177490234,530,-41.28486289978027,-0.011387728108093142,101.01973509788513,0.0001,0.1,0.251953125,0.006314635276794434,1.0046331882476807,0.005344409
112640,248,2.4535685,0.15292491018772125,19.115856,55,454,-15.826857,29.706552505493164,540,-41.275637197494504,-0.0085900434612995,66.88040990829468,0.0001,0.1,0.150634765625,-0.0019488334655761719,1.0042794942855835,0.0039611747
114688,248,0.40223414,0.09168145060539246,41.269936,56,462,-46.622425,14.874187469482422,550,-41.27120008468628,-0.008263871917733923,37.27921283245087,0.0001,0.1,0.088818359375,-0.013897895812988281,1.0044797658920288,0.0032332838
