train/reward_mean,time/episodes,train/actor_loss,train/critic_loss,time/time_elapsed,train/n_updates,train/learning_rate,train/reward_max,time/fps,train/reward,train/reward_min,time/total_timesteps
0.0295869775390625,4,-3.352748155593872,19.88106346130371,449,11471,0.001,41.56433,25,6.8364687,-53.40141,11572
0.06008787109375,8,-6.547863960266113,6.295944690704346,908,23043,0.001,41.56433,25,6.8364687,-53.40141,23144
0.0905887890625,12,-6.247977256774902,3.8041601181030273,1371,34615,0.001,41.56433,25,6.8364687,-53.40141,34716
0.1210892578125,16,-9.658258438110352,2.4256229400634766,1841,46187,0.001,41.56433,25,6.8364687,-53.40141,46288
0.1318325390625,20,-11.987286567687988,1.23575758934021,2321,57759,0.001,41.56433,24,6.8364687,-53.40141,57860
0.13183248046875,24,-10.898820877075195,1.9350725412368774,2827,69331,0.001,41.56433,24,6.8364687,-53.40141,69432
0.13183251953125,28,-13.13087272644043,1.8111822605133057,3350,80903,0.001,41.56433,24,6.8364687,-53.40141,81004
0.1318325390625,32,-11.772204399108887,0.7728816270828247,3895,92475,0.001,41.56433,23,6.8364687,-53.40141,92576
0.131832392578125,36,-10.752548217773438,0.9111234545707703,4450,104047,0.001,41.56433,23,6.8364687,-53.40141,104148
0.131832333984375,40,-13.187358856201172,0.7394855618476868,5011,115619,0.001,41.56433,23,6.8364687,-53.40141,115720
0.131832333984375,44,-13.474835395812988,0.9716216325759888,5573,127191,0.001,41.56433,22,6.8364687,-53.40141,127292
0.131832470703125,48,-13.269658088684082,1.3694126605987549,6132,138763,0.001,41.56433,22,6.8364687,-53.40141,138864
0.1318325,52,-12.3118314743042,0.692364513874054,6691,150335,0.001,41.56433,22,6.8364687,-53.40141,150436
0.1318325390625,56,-14.399109840393066,0.9580490589141846,7250,161907,0.001,41.56433,22,6.8364687,-53.40141,162008
0.13183244140625,60,-12.293220520019531,0.776578426361084,7813,173479,0.001,41.56433,22,6.8364687,-53.40141,173580
0.13183263671875,64,-10.936522483825684,0.9585144519805908,8373,185051,0.001,41.56433,22,6.8364687,-53.40141,185152
0.13183263671875,68,-13.543739318847656,0.7644643187522888,8934,196623,0.001,41.56433,22,6.8364687,-53.40141,196724
0.131832607421875,72,-13.100653648376465,0.8123892545700073,9493,208195,0.001,41.56433,21,6.8364687,-53.40141,208296
0.131832607421875,76,-13.923050880432129,1.0040595531463623,10051,219767,0.001,41.56433,21,6.8364687,-53.40141,219868
0.131832685546875,80,-12.552691459655762,1.587830662727356,10610,231339,0.001,41.56433,21,6.8364687,-53.40141,231440
0.131832685546875,84,-15.55185317993164,0.530672013759613,11168,242911,0.001,41.56433,21,6.8364687,-53.40141,243012
