train/reward_max,time/iterations,train/explained_variance,train/value_loss,train/n_updates,train/reward_min,time/fps,train/std,time/total_timesteps,train/entropy_loss,train/learning_rate,time/time_elapsed,train/policy_loss,train/reward,train/reward_mean
1.5475625,100,-0.41616809368133545,1.6760808229446411,99,-2.1251879,165,1.0020653009414673,1600,-39.7871208190918,5e-05,9,39.5541877746582,-0.9447199,-0.11350296
2.9688897,200,0.06186354160308838,0.6192103624343872,199,-0.49861455,165,1.0027803182601929,3200,-39.80691909790039,5e-05,19,12.867759704589844,-0.49861455,0.39045396
5.347572,300,0.03139913082122803,200.84075927734375,299,-3.509594,165,1.0031311511993408,4800,-39.81766128540039,5e-05,29,445.7769775390625,2.4887795,1.0796446
1.0158046,400,-0.03358757495880127,1.897556185722351,399,-0.46218002,165,1.0035507678985596,6400,-39.82929611206055,5e-05,38,49.57329177856445,-0.44669476,0.0488523
2.2225497,500,-0.7996867895126343,2.5878140926361084,499,-1.1987042,165,1.004067301750183,8000,-39.8438835144043,5e-05,48,-53.54665756225586,-1.1987042,0.38988847
4.5443587,600,-0.04922056198120117,15.343452453613281,599,-2.159329,165,1.0044702291488647,9600,-39.855072021484375,5e-05,58,-107.47027587890625,1.3284041,0.44356784
0.89364386,700,-0.24407052993774414,0.9326356649398804,699,-1.570158,165,1.0053542852401733,11200,-39.87953186035156,5e-05,67,23.580026626586914,0.14254548,0.03229775
1.2223134,800,0.0,1.5333529710769653,799,-1.9764551,165,1.0059926509857178,12800,-39.8973274230957,5e-05,77,25.60753059387207,0.6644668,0.07712156
2.4576085,900,-0.2910318374633789,11.216758728027344,899,-3.597321,165,1.006549596786499,14400,-39.91305160522461,5e-05,87,114.46343994140625,0.26000047,-0.23762989
1.0812238,1000,-0.09547197818756104,7.764641761779785,999,-1.1198179,165,1.0071438550949097,16000,-39.92912673950195,5e-05,96,82.0792465209961,0.2560593,-0.077700436
4.1073194,1100,0.007843375205993652,13.549053192138672,1099,-3.0972967,165,1.0078731775283813,17600,-39.9498405456543,5e-05,106,116.64925384521484,-2.6244168,0.18658239
5.795478,1200,-0.12627291679382324,4.161171913146973,1199,-3.1601381,165,1.0082789659500122,19200,-39.96086502075195,5e-05,116,56.51713562011719,5.795478,0.08702331
1.9126072,1300,0.0,8.178376197814941,1299,-1.3897032,165,1.0088003873825073,20800,-39.97535705566406,5e-05,125,-95.77432250976562,-1.3897032,0.03245563
1.8509221,1400,-0.1606431007385254,24.26878547668457,1399,-2.634189,165,1.0096635818481445,22400,-39.99946212768555,5e-05,135,-160.84237670898438,0.50552744,0.0207702
3.2147107,1500,-0.19378042221069336,43.473289489746094,1499,-1.917713,165,1.0100533962249756,24000,-40.01048278808594,5e-05,145,213.36582946777344,-0.8493961,0.040277913
